,Date,adj_close,close,low,high,open,volume
1515,2021-07-02,5.726226806640625,5.726226806640625,5.514288902282715,6.085221767425537,5.904682159423828,100187571.0
1516,2021-07-03,5.809141159057617,5.809141159057617,5.620083808898926,5.97274923324585,5.712221145629883,67005725.0
1517,2021-07-04,5.973340034484863,5.973340034484863,5.661544799804688,6.223239898681641,5.806914806365967,104616232.0
1518,2021-07-05,6.037942886352539,6.037942886352539,5.61714506149292,6.189009189605713,5.968986034393311,115732685.0
1519,2021-07-06,6.530279159545898,6.530279159545898,5.988766193389893,6.561645984649658,6.0319437980651855,206150167.0
1520,2021-07-07,7.090137004852295,7.090137004852295,6.457963943481445,7.691539764404297,6.529883861541748,378084014.0
1521,2021-07-08,6.703923225402832,6.703923225402832,6.42676305770874,7.201594829559326,7.1047539710998535,259627650.0
1522,2021-07-09,8.093796730041504,8.093796730041504,6.444037914276123,8.398432731628418,6.706905841827393,479254125.0
1523,2021-07-10,7.895116806030273,7.895116806030273,7.506577968597412,8.570286750793457,8.095372200012207,322138063.0
1524,2021-07-11,8.422262191772461,8.422262191772461,7.892949104309082,8.719226837158203,7.892949104309082,311316373.0
1525,2021-07-12,7.891665935516357,7.891665935516357,7.565327167510986,8.543068885803223,8.436796188354492,218483711.0
1526,2021-07-13,7.103418827056885,7.103418827056885,6.976037979125977,8.144522666931152,7.885453224182129,189543846.0
1527,2021-07-14,6.918966770172119,6.918966770172119,6.602820873260498,7.442937850952148,7.116278171539307,335785064.0
1528,2021-07-15,6.6125168800354,6.6125168800354,6.491893768310547,7.22150993347168,6.934215068817139,185814217.0
1529,2021-07-16,6.578952789306641,6.578952789306641,6.22367000579834,6.993035793304443,6.665701866149902,218212531.0
1530,2021-07-17,6.478758811950684,6.478758811950684,6.266775131225586,6.780628204345703,6.564095973968506,153114960.0
1531,2021-07-18,6.496267795562744,6.496267795562744,6.476048946380615,6.88349199295044,6.491681098937988,115922963.0
