,Date,Cryptocurrency,adj_close,close,high,low,open,volume
337,2018-03-29,ADA-USD,0.1468819975852966,103465000.0,103465000.0,103465000.0,103465000.0,103465000.0
338,2018-03-30,ADA-USD,0.1472090035676956,119874000.0,119874000.0,119874000.0,119874000.0,119874000.0
339,2018-03-31,ADA-USD,0.155919000506401,113124000.0,113124000.0,113124000.0,113124000.0,113124000.0
340,2018-04-01,ADA-USD,0.1507679969072342,100833000.0,100833000.0,100833000.0,100833000.0,100833000.0
341,2018-04-02,ADA-USD,0.1563850045204162,102697000.0,102697000.0,102697000.0,102697000.0,102697000.0
342,2018-04-03,ADA-USD,0.172446995973587,155987008.0,155987008.0,155987008.0,155987008.0,155987008.0
343,2018-04-04,ADA-USD,0.1553560048341751,154800992.0,154800992.0,154800992.0,154800992.0,154800992.0
344,2018-04-05,ADA-USD,0.1487579941749572,113407000.0,113407000.0,113407000.0,113407000.0,113407000.0
345,2018-04-06,ADA-USD,0.1444510072469711,51827500.0,51827500.0,51827500.0,51827500.0,51827500.0
346,2018-04-07,ADA-USD,0.1487939953804016,48205400.0,48205400.0,48205400.0,48205400.0,48205400.0
347,2018-04-08,ADA-USD,0.1565990000963211,51093100.0,51093100.0,51093100.0,51093100.0,51093100.0
348,2018-04-09,ADA-USD,0.15310600399971,93021904.0,93021904.0,93021904.0,93021904.0,93021904.0
349,2018-04-10,ADA-USD,0.1563470065593719,55981300.0,55981300.0,55981300.0,55981300.0,55981300.0
350,2018-04-11,ADA-USD,0.166029006242752,91793296.0,91793296.0,91793296.0,91793296.0,91793296.0
351,2018-04-12,ADA-USD,0.2122330069541931,488007008.0,488007008.0,488007008.0,488007008.0,488007008.0
352,2018-04-13,ADA-USD,0.200532004237175,230412992.0,230412992.0,230412992.0,230412992.0,230412992.0
353,2018-04-14,ADA-USD,0.2008530050516128,113212000.0,113212000.0,113212000.0,113212000.0,113212000.0
354,2018-04-15,ADA-USD,0.2213899940252304,169798000.0,169798000.0,169798000.0,169798000.0,169798000.0
355,2018-04-16,ADA-USD,0.2566460072994232,678780992.0,678780992.0,678780992.0,678780992.0,678780992.0
356,2018-04-17,ADA-USD,0.2437240034341812,520975008.0,520975008.0,520975008.0,520975008.0,520975008.0
357,2018-04-18,ADA-USD,0.2603409886360168,181118000.0,181118000.0,181118000.0,181118000.0,181118000.0
358,2018-04-19,ADA-USD,0.2723580002784729,240910000.0,240910000.0,240910000.0,240910000.0,240910000.0
359,2018-04-20,ADA-USD,0.3012470006942749,349348992.0,349348992.0,349348992.0,349348992.0,349348992.0
360,2018-04-21,ADA-USD,0.290580004453659,294632992.0,294632992.0,294632992.0,294632992.0,294632992.0
361,2018-04-22,ADA-USD,0.2855350077152252,160968000.0,160968000.0,160968000.0,160968000.0,160968000.0
362,2018-04-23,ADA-USD,0.2884730100631714,127213000.0,127213000.0,127213000.0,127213000.0,127213000.0
363,2018-04-24,ADA-USD,0.3128750026226043,369016992.0,369016992.0,369016992.0,369016992.0,369016992.0
364,2018-04-25,ADA-USD,0.2716540098190307,351596000.0,351596000.0,351596000.0,351596000.0,351596000.0
365,2018-04-26,ADA-USD,0.2942950129508972,220715008.0,220715008.0,220715008.0,220715008.0,220715008.0
366,2018-04-27,ADA-USD,0.2884890139102936,197183008.0,197183008.0,197183008.0,197183008.0,197183008.0
367,2018-04-28,ADA-USD,0.3578740060329437,636742016.0,636742016.0,636742016.0,636742016.0,636742016.0
368,2018-04-29,ADA-USD,0.3650569915771484,671886976.0,671886976.0,671886976.0,671886976.0,671886976.0
369,2018-04-30,ADA-USD,0.3433179855346679,298712000.0,298712000.0,298712000.0,298712000.0,298712000.0
